archtypes, archetypes
propietary, proprietary
recogize, recognize
exludes, excludes
tornadoe, tornado
happenned, happened
vacinity, vicinity
clasic, classic
wroet, wrote
chemicaly, chemically
reconaissance, reconnaissance
dramtic, dramatic
unneccesarily, unnecessarily
devolopement, development
harrassment, harassment
poltical, political
Brittish, British
runing, running
repulican, republican
Premonasterians, Premonstratensians
conjuction, conjunction
deriviated, derived
republian, republican
unoperational, nonoperational
surprized, surprised
fisionable, fissionable
succesfully, successfully
discontentment, discontent
ethnocentricm, ethnocentrism
continous, continuous
