serial_number,model,capacity_bytes,power_on_hours
MJ0351YNG9Z0XA,Hitachi HDS5C3030ALA630,3000592982016,36714
MJ0351YNG9WJSA,Hitachi HDS5C3030ALA630,3000592982016,36780
PL1321LAG34XWH,Hitachi HDS5C4040ALE630,4000787030016,33373
MJ0351YNGABYAA,Hitachi HDS5C3030ALA630,3000592982016,35424
Z305B2QN,ST4000DM000,4000787030016,9195
PL2331LAGN2YTJ,HGST HMS5C4040BLE640,4000787030016,23221
WD-WMC4N2899475,WDC WD30EFRX,3000592982016,20972
Z302A0YH,ST4000DM000,4000787030016,17043
Z305BT0W,ST4000DM000,4000787030016,7857
ZA130TTW,ST8000DM002,8001563222016,2245
MJ0351YNG9Z7LA,Hitachi HDS5C3030ALA630,3000592982016,36276
ZA13YGB1,ST8000DM002,8001563222016,806
Z302A0YE,ST4000DM000,4000787030016,17362
Z302PGH8,ST4000DM000,4000787030016,13914
Z3023VGH,ST4000DM000,4000787030016,19423
PL1311LAG2205A,Hitachi HDS5C4040ALE630,4000787030016,33375
Z300JA8E,ST4000DM000,4000787030016,29029
Z300KMM3,ST4000DM000,4000787030016,29055
PL2331LAHDW7KJ,HGST HMS5C4040BLE640,4000787030016,6107
Z303GWQQ,ST4000DM000,4000787030016,5005
MJ1311YNG7ESHA,Hitachi HDS5C3030ALA630,3000592982016,41403
PL2331LAGN3UVJ,HGST HMS5C4040BLE640,4000787030016,22763
WD-WX61A35NJXKT,WDC WD5000LPVX,500107862016,7657
PL2331LAHDUVVJ,HGST HMS5C4040BLE640,4000787030016,6105
ZA10JDYK,ST8000DM002,8001563222016,5323
PL1311LAG3A84H,Hitachi HDS5C4040ALE630,4000787030016,32877
Z300CMV1,ST4000DM000,4000787030016,29077
PL1331LAGSNKMH,HGST HMS5C4040ALE640,4000787030016,21540
S3010TR7,ST4000DM000,4000787030016,14986
PL1331LAHD252H,HGST HMS5C4040BLE640,4000787030016,4997
PL1331LAGSPEUH,HGST HMS5C4040ALE640,4000787030016,20528
S300ZA9B,ST4000DM000,4000787030016,13189
Z304JCBV,ST4000DM000,4000787030016,10901
MK0313YHGJ54WC,Hitachi HDS723030ALA640,3000592982016,48269
